id_filme,titulo,palavras_chave,popularidade
9731,Friday the 13th: A New Beginning,gory murders start happening; homicidal maniac jason returns; secluded halfway house; body count rises; young tommy may,12.639469
4824,The Jackal,perfectionist jackal proves; former ira terrorist; deputy fbi boss; fbi sting; russian mafia,19.747459
80585,Rock of Ages,small town girl; city boy meet; sunset strip; hollywood dreams; pursuing,23.515938
26837,B-Girl,young female breakdancer; underground hip hop; dance career forever; boyfriend nearly ends; girl follows angel,0.631571
9962,The Good Girl,discount store clerk strikes; stock boy; holden caulfield; incarnation; considers,9.799177
1988,A Mighty Heart,wall street journal reporter danny pearl; mariane pearl; unforgettable story; terrifying; life,9.717392
76163,The Expendables 2,unexpected threat; revenge puts; enemy territory; easy paycheck; church reunites,53.732892
66767,Beat the World,three dance crews – one latin american; one canadian – prepare; become world champions; one european; world competition,2.873796
11237,Anacondas: The Hunt for the Blood Orchid,explorers brave poisonous insects; even greater danger; bring back samples; way upriver; sent deep,9.855474
11323,The Informant!,"adm ), mark whitacre suddenly turns whistleblower; industry giant archer daniels midland; whitacre envisions; rising star; national price",17.772518
9275,Death to Smoochy,scoring hit ratings; puffy fuscia rhinoceros; numerous outrageous attempts; unsuspecting rhino; tv show,11.329727
13600,City of Ember,must search ember; two teenagers; powerful generator; lights go; great lamps,23.465539
813,Airplane!,vengeful former air force captain; sniffing air traffic controller; food poisoning decimates; woo back; wartime trauma,46.116885
87,Indiana Jones and the Temple of Doom,secret cult plotting; terrible plan; stumbles upon; mystical stone; indiana jones,66.976776
2001,We Own the Night,new york nightclub manager tries; russian mafia hitmen; save; father; brother,14.518708
7305,Alive,uruguayan rugby team; true story; meager rations; freezing cold; andes mountains,14.48851
271110,Captain America: Civil War,polarizes opinion amongst; causing two factions; world pass; superhuman activity; iron man,198.372395
10428,Hackers,evil computer genius behind; us secret service; computer virus discovers; secret service; computer skills,17.842246
164558,One Direction: This Is Us,one directions sell; go behind; experience life; tour; take,7.944457
172,Star Trek V: The Final Frontier,kidnaps three diplomats; crew must deal; obsessive search; half brother; spock,19.578249
12509,Pollock,"united states ?""; nobody knew .""; greatest living painter; life magazine ran; pollock began",8.483531
9335,Transporter 2,professional driver frank martin; government narcotics control policymaker; frank immediately becomes involved; young boy; temporarily filling,47.5612
9582,A Guy Thing,beautiful girl named becky; wild bachelor party; conscience clean --; teensy lie; paul morse,5.596835
76489,The Three Stooges,reality tv show; curly inadvertently stumble; murder plot; childhood orphanage; wind,14.585968
62116,Mozart's Sister,five years older; musical prodigy; maria anna; imagined account; early life,0.774442
12596,Pushing Tin,two air traffic controllers; living dangerously compete; billy bob thornton; several levels; john cusack,9.060642
